strain	date	data_source	sample_source	region	location	lineage	age
OP358285.1	2019-01-XX	GenBank	Wei	East-Asia	China	A2.2.2	NA
OP358287.1	2019-01-XX	GenBank	Wei	East-Asia	China	A2.2.2	NA
OP345083.1	2019-02-XX	GenBank	Wei	East-Asia	China	A2.2.2	NA
MZ851797.1	2019-02-XX	GenBank	Wei	East-Asia	China	A2.2.2	NA
OP358288.1	2019-03-XX	GenBank	Wei	East-Asia	China	A2.2.2	NA
OP345084.1	2019-03-XX	GenBank	Wei	East-Asia	China	A2.2.2	NA
MZ851794.1	2019-03-XX	GenBank	Wei	East-Asia	China	A2.2.2	NA
OM262393.1	2019-XX-XX	GenBank	Zhao	East-Asia	China	A2.2.2	NA
OM262395.1	2019-XX-XX	GenBank	Zhao	East-Asia	China	A2.2.2	NA
OM262396.1	2019-XX-XX	GenBank	Zhao	East-Asia	China	A2.2.2	NA
OM262397.1	2019-XX-XX	GenBank	Zhao	East-Asia	China	A2.2.2	NA
OM262413.1	2019-XX-XX	GenBank	Zhao	East-Asia	China	A2.2.2	NA
OM262414.1	2019-XX-XX	GenBank	Zhao	East-Asia	China	A2.2.2	NA
OM262415.1	2019-XX-XX	GenBank	Zhao	East-Asia	China	A2.2.2	NA
OM262416.1	2019-XX-XX	GenBank	Zhao	East-Asia	China	A2.2.2	NA
OM262418.1	2020-08-XX	GenBank	Zhao	East-Asia	China	B2	NA
OK644703.1	2020-08-XX	GenBank	Zhao	East-Asia	China	B1	NA
OR671979.1	2020-09-23	GenBank	Li	East-Asia	China	A2.2.2	NA
OR671980.1	2020-09-23	GenBank	Li	East-Asia	China	A2.2.2	NA
OR883664.1	2020-09-23	GenBank	Li	East-Asia	China	B2	NA
OR883665.1	2020-09-23	GenBank	Li	East-Asia	China	B2	NA
OR883666.1	2020-09-23	GenBank	Li	East-Asia	China	B2	NA
OR883667.1	2020-09-23	GenBank	Li	East-Asia	China	B2	NA
OR883668.1	2020-09-23	GenBank	Li	East-Asia	China	B2	NA
OR883669.1	2020-09-23	GenBank	Li	East-Asia	China	B2	NA
OR883670.1	2020-09-23	GenBank	Li	East-Asia	China	B1	NA
OR883671.1	2020-09-23	GenBank	Li	East-Asia	China	B2	NA
OR883672.1	2020-09-23	GenBank	Li	East-Asia	China	A2.2.2	NA
OR883673.1	2020-09-23	GenBank	Li	East-Asia	China	A2.2.2	NA
PQ625860.1	2020-11-25	GenBank	Pei	East-Asia	China	B2	NA
PP315925.1	2023-08-XX	GenBank	Guo	East-Asia	China	A2.2.2	NA
PP315926.1	2023-XX-XX	GenBank	Guo	East-Asia	China	B1	NA
PV252070.1	2024-XX-XX	GenBank	Li	East-Asia	China	B2	NA
PV252071.1	2024-XX-XX	GenBank	Li	East-Asia	China	A2.2.2	NA
PV252072.1	2024-XX-XX	GenBank	Li	East-Asia	China	B2	NA
PV252073.1	2024-XX-XX	GenBank	Li	East-Asia	China	A2.2.2	NA
PV252074.1	2024-XX-XX	GenBank	Li	East-Asia	China	A2.2.2	NA
PV252075.1	2024-XX-XX	GenBank	Li	East-Asia	China	A2.2.2	NA
GQ153651.1	2008-12-XX	GenBank	Zhu	East-Asia	China	A2.2.2	NA
Yale-MP00606	2023-10-24	Yale	Grubaugh	North-America	Connecticut(USA)	B2	18–49
Yale-MP00614	2023-11-03	Yale	Grubaugh	North-America	Connecticut(USA)	NA	50–64
Yale-MP00622	2023-11-10	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00630	2023-11-13	Yale	Grubaugh	North-America	Connecticut(USA)	B2	18–49
Yale-MP00638	2023-11-14	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00646	2023-11-27	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.1	65+
Yale-MP00654	2023-11-29	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00662	2023-12-01	Yale	Grubaugh	North-America	Connecticut(USA)	NA	1–4
Yale-MP00670	2023-12-03	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.1	65+
Yale-MP00678	2023-12-07	Yale	Grubaugh	North-America	Connecticut(USA)	B1	50–64
Yale-MP00686	2023-12-09	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	<1
Yale-MP00694	2023-12-09	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.1	18–49
Yale-MP00607	2023-12-17	Yale	Grubaugh	North-America	Connecticut(USA)	NA	18–49
Yale-MP00615	2024-01-04	Yale	Grubaugh	North-America	Connecticut(USA)	B2	18–49
Yale-MP00623	2024-01-04	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	<1
Yale-MP00631	2024-01-05	Yale	Grubaugh	North-America	Connecticut(USA)	NA	NA
Yale-MP00647	2024-01-13	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00639	2024-01-15	Yale	Grubaugh	North-America	Connecticut(USA)	B2	<1
Yale-MP00655	2024-01-18	Yale	Grubaugh	North-America	Connecticut(USA)	B2	1–4
Yale-MP00663	2024-01-19	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00671	2024-01-25	Yale	Grubaugh	North-America	Connecticut(USA)	B2	1–4
Yale-MP00687	2024-01-26	Yale	Grubaugh	North-America	Connecticut(USA)	NA	NA
Yale-MP00616	2024-01-28	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00679	2024-01-28	Yale	Grubaugh	North-America	Connecticut(USA)	NA	NA
Yale-MP00608	2024-01-29	Yale	Grubaugh	North-America	Connecticut(USA)	NA	50–64
Yale-MP00624	2024-01-29	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	50–64
Yale-MP00632	2024-01-29	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	5–17
Yale-MP00695	2024-01-29	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00640	2024-01-30	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00648	2024-02-02	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	18–49
Yale-MP00656	2024-02-03	Yale	Grubaugh	North-America	Connecticut(USA)	NA	5–17
Yale-MP00664	2024-02-04	Yale	Grubaugh	North-America	Connecticut(USA)	NA	5–17
Yale-MP00672	2024-02-09	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	NA
Yale-MP00680	2024-02-09	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00688	2024-02-10	Yale	Grubaugh	North-America	Connecticut(USA)	NA	18–49
Yale-MP00696	2024-02-11	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00609	2024-02-13	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00617	2024-02-13	Yale	Grubaugh	North-America	Connecticut(USA)	B2	1–4
Yale-MP00625	2024-02-14	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	18–49
Yale-MP00633	2024-02-15	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00641	2024-02-16	Yale	Grubaugh	North-America	Connecticut(USA)	NA	<1
Yale-MP00649	2024-02-17	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	<1
Yale-MP00673	2024-02-17	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00657	2024-02-18	Yale	Grubaugh	North-America	Connecticut(USA)	B2	5–17
Yale-MP00665	2024-02-18	Yale	Grubaugh	North-America	Connecticut(USA)	NA	50–64
Yale-MP00697	2024-02-18	Yale	Grubaugh	North-America	Connecticut(USA)	B2	1–4
Yale-MP00681	2024-02-19	Yale	Grubaugh	North-America	Connecticut(USA)	NA	5–17
Yale-MP00689	2024-02-21	Yale	Grubaugh	North-America	Connecticut(USA)	B2	18–49
Yale-MP00610	2024-02-22	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00626	2024-02-22	Yale	Grubaugh	North-America	Connecticut(USA)	B2	5–17
Yale-MP00618	2024-02-23	Yale	Grubaugh	North-America	Connecticut(USA)	B2	18–49
Yale-MP00634	2024-02-26	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00642	2024-02-26	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00650	2024-02-27	Yale	Grubaugh	North-America	Connecticut(USA)	B2	1–4
Yale-MP00658	2024-02-27	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.1	1–4
Yale-MP00666	2024-02-28	Yale	Grubaugh	North-America	Connecticut(USA)	B2	18–49
Yale-MP00674	2024-02-28	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00682	2024-02-28	Yale	Grubaugh	North-America	Connecticut(USA)	B2	1–4
Yale-MP00690	2024-02-28	Yale	Grubaugh	North-America	Connecticut(USA)	B2	1–4
Yale-MP00635	2024-02-29	Yale	Grubaugh	North-America	Connecticut(USA)	B2	18–49
Yale-MP00627	2024-03-01	Yale	Grubaugh	North-America	Connecticut(USA)	NA	1–4
Yale-MP00611	2024-03-02	Yale	Grubaugh	North-America	Connecticut(USA)	B2	1–4
Yale-MP00619	2024-03-02	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	NA
Yale-MP00698	2024-03-03	Yale	Grubaugh	North-America	Connecticut(USA)	NA	1–4
Yale-MP00643	2024-03-04	Yale	Grubaugh	North-America	Connecticut(USA)	NA	1–4
Yale-MP00651	2024-03-04	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00659	2024-03-05	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00675	2024-03-05	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00612	2024-03-06	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00667	2024-03-06	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	<1
Yale-MP00683	2024-03-06	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00691	2024-03-06	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	18–49
Yale-MP00620	2024-03-08	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	1–4
Yale-MP00628	2024-03-08	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00636	2024-03-10	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	1–4
Yale-MP00644	2024-03-11	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.1	50–64
Yale-MP00652	2024-03-12	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00660	2024-03-12	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00668	2024-03-13	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	18–49
Yale-MP00684	2024-03-13	Yale	Grubaugh	North-America	Connecticut(USA)	NA	1–4
Yale-MP00692	2024-03-13	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00613	2024-03-14	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00676	2024-03-14	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00621	2024-03-15	Yale	Grubaugh	North-America	Connecticut(USA)	NA	1–4
Yale-MP00629	2024-03-15	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00637	2024-03-15	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00661	2024-03-16	Yale	Grubaugh	North-America	Connecticut(USA)	B2	<1
Yale-MP00645	2024-03-17	Yale	Grubaugh	North-America	Connecticut(USA)	B2	18–49
Yale-MP00653	2024-03-17	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	18–49
Yale-MP00669	2024-03-18	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	1–4
Yale-MP00685	2024-03-19	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00677	2024-03-20	Yale	Grubaugh	North-America	Connecticut(USA)	NA	NA
Yale-MP00693	2024-03-20	Yale	Grubaugh	North-America	Connecticut(USA)	B2	1–4
Yale-MP00513	2024-03-21	Yale	Grubaugh	North-America	Connecticut(USA)	B2	18–49
Yale-MP00521	2024-03-21	Yale	Grubaugh	North-America	Connecticut(USA)	NA	NA
Yale-MP00529	2024-03-21	Yale	Grubaugh	North-America	Connecticut(USA)	NA	50–64
Yale-MP00537	2024-03-21	Yale	Grubaugh	North-America	Connecticut(USA)	NA	5–17
Yale-MP00545	2024-03-21	Yale	Grubaugh	North-America	Connecticut(USA)	NA	50–64
Yale-MP00553	2024-03-21	Yale	Grubaugh	North-America	Connecticut(USA)	NA	5–17
Yale-MP00561	2024-03-22	Yale	Grubaugh	North-America	Connecticut(USA)	NA	18–49
Yale-MP00569	2024-03-22	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00577	2024-03-23	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00585	2024-03-23	Yale	Grubaugh	North-America	Connecticut(USA)	B2	1–4
Yale-MP00593	2024-03-24	Yale	Grubaugh	North-America	Connecticut(USA)	NA	NA
Yale-MP00514	2024-03-26	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00522	2024-03-26	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00601	2024-03-26	Yale	Grubaugh	North-America	Connecticut(USA)	B2	18–49
Yale-MP00530	2024-03-27	Yale	Grubaugh	North-America	Connecticut(USA)	NA	NA
Yale-MP00538	2024-03-28	Yale	Grubaugh	North-America	Connecticut(USA)	NA	NA
Yale-MP00546	2024-03-28	Yale	Grubaugh	North-America	Connecticut(USA)	B2	5–17
Yale-MP00554	2024-03-28	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00562	2024-03-29	Yale	Grubaugh	North-America	Connecticut(USA)	NA	NA
Yale-MP00570	2024-03-29	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00578	2024-03-29	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00586	2024-03-30	Yale	Grubaugh	North-America	Connecticut(USA)	B2	<1
Yale-MP00594	2024-03-30	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00602	2024-03-30	Yale	Grubaugh	North-America	Connecticut(USA)	NA	NA
Yale-MP00515	2024-03-31	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00523	2024-03-31	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00531	2024-03-31	Yale	Grubaugh	North-America	Connecticut(USA)	NA	NA
Yale-MP00539	2024-04-01	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00547	2024-04-01	Yale	Grubaugh	North-America	Connecticut(USA)	NA	NA
Yale-MP00555	2024-04-01	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00563	2024-04-01	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00571	2024-04-02	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	5–17
Yale-MP00579	2024-04-02	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00516	2024-04-03	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00587	2024-04-03	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00595	2024-04-03	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00603	2024-04-03	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00524	2024-04-04	Yale	Grubaugh	North-America	Connecticut(USA)	NA	50–64
Yale-MP00532	2024-04-09	Yale	Grubaugh	North-America	Connecticut(USA)	B2	1–4
Yale-MP00540	2024-04-09	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00564	2024-04-09	Yale	Grubaugh	North-America	Connecticut(USA)	B2	18–49
Yale-MP00548	2024-04-10	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00556	2024-04-10	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00580	2024-04-10	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00517	2024-04-11	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00572	2024-04-11	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00588	2024-04-11	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00596	2024-04-11	Yale	Grubaugh	North-America	Connecticut(USA)	NA	18–49
Yale-MP00604	2024-04-11	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00525	2024-04-12	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00533	2024-04-12	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00541	2024-04-12	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00557	2024-04-12	Yale	Grubaugh	North-America	Connecticut(USA)	NA	18–49
Yale-MP00549	2024-04-13	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00565	2024-04-13	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	18–49
Yale-MP00573	2024-04-14	Yale	Grubaugh	North-America	Connecticut(USA)	B2	<1
Yale-MP00581	2024-04-14	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00589	2024-04-15	Yale	Grubaugh	North-America	Connecticut(USA)	B2	18–49
Yale-MP00597	2024-04-15	Yale	Grubaugh	North-America	Connecticut(USA)	B2	<1
Yale-MP00605	2024-04-15	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00518	2024-04-16	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00526	2024-04-16	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00534	2024-04-17	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00542	2024-04-17	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00550	2024-04-18	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00558	2024-04-18	Yale	Grubaugh	North-America	Connecticut(USA)	NA	50–64
Yale-MP00566	2024-04-18	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00574	2024-04-18	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00582	2024-04-18	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00519	2024-04-19	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00527	2024-04-19	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00590	2024-04-19	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	1–4
Yale-MP00598	2024-04-19	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00535	2024-04-20	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	50–64
Yale-MP00543	2024-04-20	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00551	2024-04-22	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00559	2024-04-23	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00583	2024-04-23	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00575	2024-04-24	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00591	2024-04-24	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00567	2024-04-25	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00599	2024-04-26	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00520	2024-04-27	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00528	2024-04-28	Yale	Grubaugh	North-America	Connecticut(USA)	NA	5–17
Yale-MP00544	2024-04-29	Yale	Grubaugh	North-America	Connecticut(USA)	B2	1–4
Yale-MP00536	2024-04-29	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00552	2024-04-29	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00560	2024-04-30	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00576	2024-04-30	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	50–64
Yale-MP00568	2024-04-30	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00592	2024-05-01	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	<1
Yale-MP00584	2024-05-01	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	18–49
Yale-MP00417	2024-05-02	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00600	2024-05-02	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00425	2024-05-05	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00441	2024-05-06	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00433	2024-05-06	Yale	Grubaugh	North-America	Connecticut(USA)	NA	50–64
Yale-MP00449	2024-05-06	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00457	2024-05-07	Yale	Grubaugh	North-America	Connecticut(USA)	NA	50–64
Yale-MP00465	2024-05-08	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	<1
Yale-MP00473	2024-05-10	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	18–49
Yale-MP00481	2024-05-13	Yale	Grubaugh	North-America	Connecticut(USA)	B2	5–17
Yale-MP00489	2024-05-16	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00426	2024-05-29	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	1–4
Yale-MP00418	2024-05-29	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00505	2024-05-29	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00497	2024-05-29	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00434	2024-05-30	Yale	Grubaugh	North-America	Connecticut(USA)	NA	50–64
Yale-MP00442	2024-05-31	Yale	Grubaugh	North-America	Connecticut(USA)	NA	18–49
Yale-MP00458	2024-06-02	Yale	Grubaugh	North-America	Connecticut(USA)	B2	1–4
Yale-MP00450	2024-06-02	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	50–64
Yale-MP00466	2024-06-02	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00474	2024-06-03	Yale	Grubaugh	North-America	Connecticut(USA)	NA	18–49
Yale-MP00482	2024-06-04	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00490	2024-06-10	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00498	2024-06-14	Yale	Grubaugh	North-America	Connecticut(USA)	NA	5–17
Yale-MP00506	2024-06-16	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	1–4
Yale-MP00419	2024-06-19	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00427	2024-06-23	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00435	2024-06-27	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00443	2024-07-01	Yale	Grubaugh	North-America	Connecticut(USA)	B2	18–49
Yale-MP00451	2024-07-01	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00459	2024-07-26	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00467	2024-07-26	Yale	Grubaugh	North-America	Connecticut(USA)	NA	50–64
Yale-MP00475	2024-08-05	Yale	Grubaugh	North-America	Connecticut(USA)	NA	50–64
Yale-MP00483	2024-08-10	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00491	2024-08-15	Yale	Grubaugh	North-America	Connecticut(USA)	NA	50–64
Yale-MP00499	2024-08-20	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00507	2024-09-03	Yale	Grubaugh	North-America	Connecticut(USA)	NA	1–4
Yale-MP00420	2024-09-25	Yale	Grubaugh	North-America	Connecticut(USA)	B2	18–49
Yale-MP00428	2024-09-26	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00436	2024-10-01	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00444	2024-10-03	Yale	Grubaugh	North-America	Connecticut(USA)	NA	50–64
Yale-MP00452	2024-10-06	Yale	Grubaugh	North-America	Connecticut(USA)	B1	65+
Yale-MP00460	2024-10-07	Yale	Grubaugh	North-America	Connecticut(USA)	NA	50–64
Yale-MP00468	2024-10-15	Yale	Grubaugh	North-America	Connecticut(USA)	NA	50–64
Yale-MP00476	2024-10-22	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	<1
Yale-MP00484	2024-10-26	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	18–49
Yale-MP00492	2024-11-07	Yale	Grubaugh	North-America	Connecticut(USA)	NA	5–17
Yale-MP00500	2024-11-08	Yale	Grubaugh	North-America	Connecticut(USA)	NA	18–49
Yale-MP00508	2024-11-11	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00421	2024-11-21	Yale	Grubaugh	North-America	Connecticut(USA)	NA	50–64
Yale-MP00429	2024-11-22	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	5–17
Yale-MP00437	2024-11-24	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	65+
Yale-MP00445	2024-11-30	Yale	Grubaugh	North-America	Connecticut(USA)	B2	5–17
Yale-MP00453	2024-12-03	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	<1
Yale-MP00461	2024-12-04	Yale	Grubaugh	North-America	Connecticut(USA)	NA	18–49
Yale-MP00469	2024-12-06	Yale	Grubaugh	North-America	Connecticut(USA)	NA	1–4
Yale-MP00477	2024-12-07	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	1–4
Yale-MP00485	2024-12-07	Yale	Grubaugh	North-America	Connecticut(USA)	B2	1–4
Yale-MP00493	2024-12-09	Yale	Grubaugh	North-America	Connecticut(USA)	B2	1–4
Yale-MP00501	2024-12-09	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00430	2024-12-11	Yale	Grubaugh	North-America	Connecticut(USA)	B2	<1
Yale-MP00422	2024-12-11	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00509	2024-12-11	Yale	Grubaugh	North-America	Connecticut(USA)	NA	1–4
Yale-MP00446	2024-12-12	Yale	Grubaugh	North-America	Connecticut(USA)	B2	65+
Yale-MP00438	2024-12-15	Yale	Grubaugh	North-America	Connecticut(USA)	NA	18–49
Yale-MP00454	2024-12-15	Yale	Grubaugh	North-America	Connecticut(USA)	B2	50–64
Yale-MP00462	2024-12-16	Yale	Grubaugh	North-America	Connecticut(USA)	NA	65+
Yale-MP00470	2024-12-16	Yale	Grubaugh	North-America	Connecticut(USA)	NA	18–49
Yale-MP00478	2024-12-17	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	18–49
Yale-MP00486	2024-12-17	Yale	Grubaugh	North-America	Connecticut(USA)	A2.2.2	18–49
